feature,importance,cumulative_importance
EXT_SOURCE_MEAN,0.19699833,0.19699836
EXT_SOURCE_MIN,0.03376409,0.23076245
NAME_EDUCATION_TYPE_Higher_education,0.032981344,0.2637438
EXT_SOURCE_MAX,0.029354466,0.29309824
NAME_INCOME_TYPE_Working,0.024515878,0.3176141
CODE_GENDER_M,0.02444076,0.34205487
CREDIT_TO_GOODS_RATIO,0.021367969,0.36342284
NAME_EDUCATION_TYPE_Secondary_secondary_special,0.02033482,0.38375768
FLAG_OWN_CAR_Y,0.017961621,0.4017193
FLAG_DOCUMENT_3,0.016813688,0.418533
TOTAL_DOCUMENTS_PROVIDED,0.016454479,0.4349875
EXT_SOURCE_3,0.015812475,0.45079997
NAME_FAMILY_STATUS_Married,0.015337138,0.4661371
DAYS_EMPLOYED,0.015034951,0.48117206
FLAG_EMP_PHONE,0.014834294,0.49600634
REG_CITY_NOT_LIVE_CITY,0.0147738615,0.5107802
DEF_30_CNT_SOCIAL_CIRCLE,0.014167525,0.52494776
WALLSMATERIAL_MODE_Panel,0.013859124,0.5388069
OWN_CAR_AGE,0.013740703,0.55254763
DEF_60_CNT_SOCIAL_CIRCLE,0.013313999,0.56586164
NAME_CONTRACT_TYPE_Revolving_loans,0.013210838,0.5790725
REGION_RATING_CLIENT,0.011911728,0.5909842
NAME_INCOME_TYPE_State_servant,0.011891839,0.60287607
FLAG_WORK_PHONE,0.0118002575,0.6146763
DAYS_BIRTH,0.011489747,0.62616605
AMT_ANNUITY,0.011296535,0.63746256
EXT_SOURCE_1,0.011150768,0.64861333
AMT_CREDIT,0.011147583,0.6597609
AMT_REQ_CREDIT_BUREAU_QRT,0.010991213,0.6707521
REG_CITY_NOT_WORK_CITY,0.01022143,0.68097353
DAYS_ID_PUBLISH,0.009550561,0.6905241
FLOORSMAX_AVG,0.009075297,0.6995994
DAYS_LAST_PHONE_CHANGE,0.008381192,0.7079806
EXT_SOURCE_2,0.0081617255,0.7161423
AMT_REQ_CREDIT_BUREAU_YEAR,0.007944293,0.7240866
HAS_CHILDREN,0.007857071,0.73194367
AMT_REQ_CREDIT_BUREAU_WEEK,0.0077450164,0.7396887
AMT_REQ_CREDIT_BUREAU_DAY,0.0076874425,0.74737614
ELEVATORS_AVG,0.0076685566,0.75504476
DEBT_TO_INCOME_RATIO,0.007651587,0.7626963
NAME_HOUSING_TYPE_House_apartment,0.007265955,0.7699623
AMT_INCOME_TOTAL,0.006988632,0.77695096
AMT_REQ_CREDIT_BUREAU_MON,0.0069649452,0.7839159
FLAG_OWN_REALTY_Y,0.006883035,0.7907989
REG_REGION_NOT_LIVE_REGION,0.0067199743,0.79751885
NAME_HOUSING_TYPE_Municipal_apartment,0.006583723,0.8041026
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0064852107,0.8105878
NAME_FAMILY_STATUS_Widow,0.0064732055,0.817061
INCOME_PER_PERSON,0.006335833,0.82339686
LIVE_REGION_NOT_WORK_REGION,0.006314242,0.8297111
NAME_HOUSING_TYPE_With_parents,0.006301267,0.83601236
NAME_EDUCATION_TYPE_Lower_secondary,0.006239106,0.8422515
CNT_CHILDREN,0.006236831,0.84848833
DAYS_REGISTRATION,0.0062178755,0.8547062
NAME_FAMILY_STATUS_Single_not_married,0.006213034,0.86091924
FONDKAPREMONT_MODE_reg_oper_spec_account,0.00620035,0.8671196
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0061625224,0.87328213
OBS_30_CNT_SOCIAL_CIRCLE,0.0061321314,0.87941426
HOUR_APPR_PROCESS_START,0.006023496,0.8854377
NAME_HOUSING_TYPE_Rented_apartment,0.0059511606,0.8913889
FLAG_DOCUMENT_6,0.005897222,0.8972861
FONDKAPREMONT_MODE_org_spec_account,0.0058847144,0.9031708
CNT_FAM_MEMBERS,0.005862708,0.90903354
NAME_TYPE_SUITE_Spouse_partner,0.0058571794,0.9148907
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0057747914,0.9206655
FLAG_DOCUMENT_5,0.005656703,0.9263222
NAME_EDUCATION_TYPE_Incomplete_higher,0.005648833,0.9319711
FLAG_EMAIL,0.005581062,0.93755215
NAME_TYPE_SUITE_Unaccompanied,0.005580941,0.9431331
WALLSMATERIAL_MODE_Stone_brick,0.005493873,0.948627
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0053395163,0.9539665
WEEKDAY_APPR_PROCESS_START_MONDAY,0.005236817,0.9592033
FLAG_PHONE,0.0051846053,0.9643879
LIVE_CITY_NOT_WORK_CITY,0.0048992285,0.9692871
FONDKAPREMONT_MODE_reg_oper_account,0.004810187,0.9740973
NAME_FAMILY_STATUS_Separated,0.0046977154,0.97879505
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0046359403,0.983431
NAME_INCOME_TYPE_Commercial_associate,0.0043799314,0.9878109
FLAG_DOCUMENT_8,0.0043568797,0.9921678
NAME_TYPE_SUITE_Family,0.004236446,0.99640423
REG_REGION_NOT_WORK_REGION,0.0035959482,1.0000001
WALLSMATERIAL_MODE_Wooden,0.0,1.0000001
