feature_strategy,sampling_strategy,roc_auc,pr_auc,fbeta_score,accuracy,precision,recall,f1_score,business_cost,avg_cost,best_threshold
polynomial,balanced,0.7745286389810524,0.26331574088044196,0.5782015314327608,0.5708527202814814,0.13995808540498306,0.8344346681458056,0.23956084924963866,23654.0,0.5494361477538854,0.35858910179244585
domain,balanced,0.776142049975169,0.26552462147596834,0.5779604043329407,0.5665782890169397,0.1391041375288034,0.8372012815524336,0.23839469379831052,23751.6,0.5517034210010351,0.3597018521890685
baseline,undersample,0.7714785589100899,0.25719957610170624,0.5753223561957821,0.5724785167314063,0.13954551422076916,0.8286240200014902,0.23878155383307434,23765.8,0.5520331147339228,0.3869042177812404
combined,undersample,0.7704283134676253,0.25320397282102386,0.574984303798711,0.5702766099086777,0.13926250674581753,0.829658964657963,0.23832886329404396,23828.2,0.5534824860107656,0.3873684412867618
baseline,balanced,0.7753695781241036,0.26422182610076517,0.5784560718913514,0.5612408531372163,0.1382594177048301,0.8415715740411123,0.237311338012425,23844.6,0.5538634537142351,0.3549096356351636
domain,undersample,0.7716854789060018,0.25588092110750793,0.5763310549025707,0.5617006775926152,0.1379646744105642,0.8378893791756008,0.2367091394364263,23940.0,0.5560794514800915,0.38121312679482994
combined,balanced,0.7752261820961219,0.2627559090494059,0.5783474694610777,0.5431786447121709,0.1343404106300422,0.8544051957513391,0.23214000919817313,24220.8,0.5626018903231723,0.3385123254777219
polynomial,undersample,0.769782189664802,0.2527996653421282,0.5746555900708127,0.5411904368405596,0.13371282155025732,0.8496856553882326,0.23088868661406212,24454.0,0.5680185967817928,0.3645122325240158
domain,smote,0.7559299311143033,0.23419102340557604,0.5653082163421896,0.5632708972426677,0.13580101152049695,0.8191289086107408,0.23286663349789793,24459.2,0.5681394529243746,0.06330664434139646
combined,smote_undersample,0.7661791957453179,0.250244102097712,0.5714832612803028,0.5441124161831246,0.13315263221799156,0.8425504549179988,0.22993721969625006,24551.4,0.5702810785924789,0.104163599687192
polynomial,smote_undersample,0.7650176521172863,0.2470424952298417,0.5714429807883431,0.541381006910742,0.13317932769413426,0.8442754509855867,0.22987277761686742,24615.0,0.5717582567754703,0.10641076453765168
baseline,smote_undersample,0.7641240059851621,0.2473600017781301,0.5696781371689681,0.5395134730331022,0.13249504285659447,0.8427210967704548,0.22880070549725354,24744.0,0.5747547075990046,0.10815769225300269
domain,smote_undersample,0.763934629179811,0.2458824906615758,0.5693524464606979,0.5367955997332887,0.13169078871208142,0.844046559760247,0.22774317434007513,24819.6,0.5765108297610967,0.10425790478687409
combined,smote,0.7610368086235293,0.24116943369218022,0.5681373074428169,0.5389466471677586,0.1319361128430815,0.8405925772615509,0.2279456324426762,24835.0,0.5768684785577407,0.057269041338280605
polynomial,smote,0.7579529151412101,0.23710106291043295,0.5661819767868372,0.5315367278512411,0.1299078350635651,0.8426657449644427,0.22509725776759631,25089.2,0.5827731344905294,0.058933763646602834
baseline,smote,0.7551652947646857,0.234506656347792,0.5648640430307208,0.5158719812345149,0.1272762387580207,0.8511809654692817,0.22138164772928598,25497.2,0.5922500337228513,0.05841155005064551
