experiment_number,feature_strategy,sampling_strategy,roc_auc,pr_auc,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate
4,domain,balanced,0.7778442669416745,0.27203504416214697,0.7224835779478397,0.18067965946668543,0.6895810955961332,0.28633550760996823,0.2746267952739193,0.3104189044038668
10,combined,balanced,0.776208333442046,0.2672995559868898,0.7252043271836451,0.18149795410069383,0.6848818474758325,0.2869518746659916,0.2712543923778978,0.3151181525241676
6,domain,undersample,0.7743522031822274,0.26196824490213266,0.7024952847573005,0.17270049099836335,0.7083780880773362,0.2776988262540134,0.29802136641275384,0.2916219119226638
3,baseline,undersample,0.7732529909738011,0.2609408809533262,0.7047174106271815,0.1735444499422728,0.7063641245972073,0.27863252389905463,0.29542721033889113,0.2936358754027927
12,combined,undersample,0.7728926373387287,0.262647487706132,0.7023001712662865,0.17247021861500197,0.7075725026852846,0.27733922744974215,0.2981628658349645,0.29242749731471535
7,polynomial,balanced,0.7712923430878177,0.25784617905613316,0.7352526719708631,0.1838733705772812,0.6628625134264232,0.2878885066184617,0.25838973657524233,0.3371374865735768
9,polynomial,undersample,0.7675592097568842,0.25105553606271,0.6991566761332841,0.16984261186264307,0.7012620837808807,0.27345549738219893,0.30102822913473104,0.2987379162191192
11,combined,smote,0.7603761176738174,0.23999333045580132,0.9194181282112429,0.5261194029850746,0.0189312567132116,0.03654743390357698,0.0014975355517298304,0.9810687432867884
5,domain,smote,0.7593230064508386,0.23645256563005176,0.9192555336353979,0.4982698961937716,0.01933404940923738,0.03722373012795657,0.0017097846850458694,0.9806659505907627
2,baseline,smote,0.7579345417872035,0.23652724316984666,0.9192880525505669,0.5025510204081632,0.026450053705692804,0.050255102040816325,0.0022993656109237554,0.9735499462943072
8,polynomial,smote,0.7545194085227894,0.23327455665486335,0.9193856092960739,0.5240174672489083,0.01611170784103115,0.03126221180148495,0.0012852864184137915,0.9838882921589689
